index,Date_Heure,Pression au niveau mer,Variation de pression en 3 heures,Type de tendance barometrique,Direction du vent moyen 10 mn,Vitesse du vent moyen 10 mn,Temperature,Point de rosee,Humidite,Visibilite horizontale,Temps present,Pression station,Rafales sur une periode,Periode de mesure de la rafale,Precipitations dans la derniere heure,Precipitations dans les 3 dernieres heures,Temperature (C),consommation,datehour,datemonth
61187,1/4/2013 11:00,100030,-40,5,20,5.1,278.65,275.95,83,6000,60,99930,8.7,-10,2,2,5.5,29607,11,1
3117,1/4/2013 14:00,99970,-60,8,360,6.7,279.95,277.75,86,4000,60,99870,10.3,-10,1,5,6.8,28636,14,1
1618,1/4/2013 17:00,100000,30,3,350,4.6,281.25,279.85,91,6000,60,99900,6.7,-10,1,4,8.1,27228,17,1
2226,1/4/2013 20:00,100180,180,3,290,2.6,281.75,280.65,93,7000,61,100080,5.7,-10,1,5,8.6,29959,20,1
1629,1/4/2013 23:00,100240,60,0,240,1,281.25,280.15,93,6000,21,100140,2.1,-10,0,1,8.1,30030,23,1
59694,1/5/2013 2:00,101610,20,1,100,3.1,286.65,285.35,92,11000,0,101510,4.6,-10,0,1,13.5,23025,2,1
1447,1/5/2013 5:00,101580,-30,6,120,1.5,286.35,285.05,92,15000,2,101480,2.6,-10,0,0,13.2,20361,5,1
2013,1/5/2013 8:00,101700,120,3,190,2.6,286.15,285.25,94,16000,0,101600,4.1,-10,0,0,13,21972,8,1
3450,1/5/2013 11:00,101710,10,3,130,1.5,288.95,286.05,83,19000,0,101610,3.1,-10,0,0,15.8,23870,11,1
3455,1/5/2013 14:00,101780,70,3,160,4.6,290.15,285.85,76,20000,2,101680,6.2,-10,0,0,17,21485,14,1
29773,1/5/2013 17:00,101730,-50,8,180,2.6,290.55,284.55,68,40000,2,101630,4.6,-10,0,0,17.4,18897,17,1
2030,1/5/2013 20:00,101700,-30,6,220,2.6,289.25,283.35,68,50000,2,101600,4.1,-10,0,0,16.1,22131,20,1
2033,1/5/2013 23:00,101750,50,1,310,1.5,285.65,281.15,74,60000,0,101650,4.1,-10,0,0,12.5,24764,23,1
84764,1/6/2013 2:00,101090,-60,6,290,9.3,290.25,281.35,56,60000,0,101000,13.4,-10,0,0,17.1,20071,2,1
102134,1/6/2013 5:00,101020,-70,6,320,6.2,290.45,281.35,55,60000,2,100930,12.9,-10,0,0,17.3,18112,5,1
8426,1/6/2013 8:00,101170,150,3,320,6.2,292.05,279.15,43,60000,2,101080,11.8,-10,0,0,18.9,21012,8,1
102143,1/6/2013 11:00,101250,80,1,340,9.3,295.05,278.05,33,60000,2,101160,14.9,-10,0,0,21.9,23845,11,1
8441,1/6/2013 14:00,101310,60,1,320,11.8,297.85,277.55,27,40000,2,101220,15.9,-10,0,0,24.7,22239,14,1
69991,1/6/2013 17:00,101240,-70,5,350,12.3,299.45,278.45,26,40000,2,101150,19,-10,0,0,26.3,20160,17,1
32343,1/6/2013 20:00,101300,60,3,340,10.8,297.95,278.65,29,30000,2,101210,17.5,-10,0,0,24.8,20451,20,1
84805,1/6/2013 23:00,101530,230,1,320,3.6,293.25,279.25,40,30000,2,101440,10.8,-10,0,0,20.1,22956,23,1
26250,1/7/2013 2:00,101860,10,1,360,2.6,292.75,283.95,57,60000,0,101770,3.6,-10,0,0,19.6,16375,2,1
41871,1/7/2013 5:00,101770,-100,6,10,2.6,290.85,283.75,63,40000,2,101670,6.2,-10,0,0,17.7,15916,5,1
104129,1/7/2013 8:00,101800,40,3,10,4.1,292.85,284.35,58,40000,2,101710,6.2,-10,0,0,19.7,21045,8,1
82084,1/7/2013 11:00,101820,20,0,90,4.1,298.65,284.75,42,40000,2,101730,5.7,-10,0,0,25.5,24049,11,1
26352,1/7/2013 14:00,101820,0,0,170,3.6,295.05,288.15,65,30000,2,101730,8.7,-10,0,0,21.9,24196,14,1
80008,1/7/2013 17:00,101760,-60,7,160,3.6,292.35,289.25,82,3500,40,101670,5.7,-10,0,0,19.2,22692,17,1
4644,1/7/2013 20:00,101800,40,3,150,3.6,291.05,290.25,95,700,47,101710,5.1,-10,0,0,17.9,21100,20,1
80023,1/7/2013 23:00,101870,70,1,120,3.6,291.15,289.35,89,12000,3,101780,4.6,-10,0,0,18,22223,23,1
67137,1/8/2013 2:00,101670,-60,8,20,2.6,292.95,289.95,83,19000,0,101580,3.1,-10,0,0,19.8,18801,2,1
49608,1/8/2013 5:00,101610,-60,7,10,2.1,291.85,288.55,81,30000,2,101520,3.1,-10,0,0,18.7,17933,5,1
67154,1/8/2013 8:00,101690,80,3,30,2.6,293.65,289.05,75,30000,2,101600,3.6,-10,0,0,20.5,22866,8,1
80631,1/8/2013 11:00,101770,80,1,140,2.1,300.45,290.95,56,20000,2,101680,4.1,-10,0,0,27.3,27148,11,1
3506,1/8/2013 14:00,101740,-30,8,140,3.6,300.55,294.15,68,20000,2,101650,5.1,-10,0,0,27.4,27414,14,1
67174,1/8/2013 17:00,101680,-60,7,160,3.6,301.15,292.95,61,40000,2,101590,6.2,-10,0,0,28,26167,17,1
49637,1/8/2013 20:00,101630,-50,6,160,1.5,300.15,290.65,56,40000,2,101540,3.1,-10,0,0,27,24400,20,1
49642,1/8/2013 23:00,101730,100,3,20,1.5,295.75,290.85,74,40000,2,101640,3.1,-10,0,0,22.6,23952,23,1
49162,1/9/2013 2:00,102060,40,1,340,3.1,294.55,283.65,50,60000,0,101970,3.6,-10,0,0,21.4,16922,2,1
49169,1/9/2013 5:00,102010,-50,6,300,4.1,294.35,283.25,49,40000,2,101920,5.1,-10,0,0,21.2,15130,5,1
4168,1/9/2013 8:00,102070,60,3,300,3.6,293.25,283.65,54,70000,2,101980,5.1,-10,0,0,20.1,16380,8,1
4175,1/9/2013 11:00,102110,40,1,10,7.7,299.75,284.65,39,70000,2,102020,12.9,-10,0,0,26.6,20199,11,1
49191,1/9/2013 14:00,102020,-90,8,20,5.7,302.85,283.95,31,70000,2,101930,9.8,-10,0,0,29.7,19269,14,1
80278,1/9/2013 17:00,101910,-110,6,190,2.6,303.55,285.45,33,70000,2,101820,5.7,-10,0,0,30.4,18421,17,1
80289,1/9/2013 20:00,101930,20,3,20,4.6,300.95,282.75,32,60000,2,101840,10.8,-10,0,0,27.8,20142,20,1
80295,1/9/2013 23:00,102160,230,1,10,5.1,296.75,281.25,37,60000,2,102070,8.7,-10,0,0,23.6,20819,23,1
12515,1/10/2013 2:00,100770,50,3,330,2.6,292.75,286.65,68,60000,0,100680,5.1,-10,0,0,19.6,16679,2,1
12521,1/10/2013 5:00,100720,-50,8,310,2.1,288.85,286.15,84,40000,2,100630,2.1,-10,0,0,15.7,17145,5,1
91820,1/10/2013 8:00,100780,60,3,270,2.1,289.75,286.45,81,40000,2,100690,3.1,-10,0,0,16.6,22213,8,1
1210,1/10/2013 11:00,100870,90,3,140,1,296.75,288.25,59,40000,2,100780,2.1,-10,0,0,23.6,23940,11,1
64071,1/10/2013 14:00,100810,-60,8,160,3.6,297.55,287.05,52,40000,2,100720,4.6,-10,0,0,24.4,23695,14,1
7599,1/10/2013 17:00,100750,-60,5,170,2.6,295.85,288.15,62,40000,2,100660,5.1,-10,0,0,22.7,22485,17,1
7606,1/10/2013 20:00,100850,100,2,220,1,293.35,288.55,74,70000,2,100760,2.1,-10,0,0,20.2,22904,20,1
64086,1/10/2013 23:00,100970,120,1,260,1,292.15,288.65,80,70000,2,100880,2.6,-10,0,0,19,21168,23,1
3626,1/11/2013 1:00,102300,-40,8,310,2.6,284.95,280.85,76,50000,0,102200,3.1,-10,0,0,11.8,24849,1,1
94645,1/11/2013 4:00,102170,-130,7,10,1.5,282.65,279.95,83,30000,2,102070,2.1,-10,0,0,9.5,21006,4,1
8883,1/11/2013 7:00,102160,-10,8,340,1,281.75,279.55,86,40000,2,102060,2.1,-10,0,0,8.6,19851,7,1
8887,1/11/2013 10:00,102250,90,0,20,2.1,287.45,282.65,73,40000,2,102150,3.1,-10,0,0,14.3,21700,10,1
94660,1/11/2013 13:00,102120,-130,8,150,1,290.95,283.55,62,20000,2,102020,3.1,-10,0,0,17.8,23792,13,1
94669,1/11/2013 16:00,101940,-180,6,140,2.6,290.45,285.75,74,25000,2,101840,3.1,-10,0,0,17.3,21939,16,1
3640,1/11/2013 19:00,101910,-30,5,140,1,289.95,286.45,80,20000,2,101810,2.6,-10,0,0,16.8,22817,19,1
94675,1/11/2013 22:00,101870,-40,6,30,1,287.75,285.45,86,15000,2,101770,3.1,-10,0,0,14.6,24216,22,1
55623,1/12/2013 1:00,101970,150,1,20,3.6,280.15,270.65,51,60000,0,101870,10.8,-10,0,0,7,36896,1,1
30986,1/12/2013 4:00,102060,90,3,10,4.6,278.25,269.95,55,40000,2,101960,6.7,-10,0,0,5.1,33101,4,1
55639,1/12/2013 7:00,102100,40,3,350,2.6,276.35,269.55,61,40000,2,102000,6.7,-10,0,0,3.2,31236,7,1
27910,1/12/2013 10:00,102130,30,3,360,4.6,279.05,269.95,52,60000,2,102030,8.2,-10,0,0,5.9,33453,10,1
63493,1/12/2013 13:00,101970,-160,8,350,5.1,283.35,269.65,38,60000,2,101870,8.7,-10,0,0,10.2,35318,13,1
82502,1/12/2013 16:00,101850,-120,6,20,4.6,284.15,269.65,36,60000,2,101750,6.2,-10,0,0,11,32497,16,1
31007,1/12/2013 19:00,101910,60,2,320,2.6,279.35,267.95,44,60000,2,101810,7.7,-10,0,0,6.2,35186,19,1
63511,1/12/2013 22:00,101950,40,1,310,3.1,277.35,269.35,56,60000,2,101850,5.1,-10,0,0,4.2,37497,22,1
4775,1/13/2013 1:00,101270,-90,6,360,3.1,277.75,276.55,92,8000,2,101170,4.6,-10,0,0,4.6,33789,1,1
114864,1/13/2013 4:00,101100,-170,8,10,4.6,277.65,275.35,85,10000,3,101000,6.2,-10,0,0,4.5,29806,4,1
114879,1/13/2013 10:00,100950,30,3,10,4.6,278.55,273.35,69,20000,2,100850,7.2,-10,0,0,5.4,29601,10,1
114883,1/13/2013 13:00,100870,-80,8,350,3.1,281.25,274.65,63,30000,2,100770,5.1,-10,0,0,8.1,34295,13,1
25445,1/13/2013 16:00,100790,-80,6,0,0,283.05,275.65,60,30000,2,100690,2.6,-10,0,0,9.9,31816,16,1
4797,1/13/2013 19:00,100910,120,1,310,2.6,280.55,275.25,69,30000,2,100810,4.1,-10,0,0,7.4,32610,19,1
25454,1/13/2013 22:00,101030,120,3,350,1.5,276.75,273.25,78,10000,2,100930,3.6,-10,0,0,3.6,34593,22,1
25459,1/14/2013 1:00,101150,120,1,280,4.6,278.85,272.55,64,60000,0,101050,6.7,-10,0,0,5.7,34302,1,1
25465,1/14/2013 4:00,101210,60,3,270,6.2,279.45,272.65,62,40000,2,101110,11.8,-10,0,0,6.3,30964,4,1
4816,1/14/2013 7:00,101160,-50,5,280,5.1,279.35,272.35,61,40000,2,101060,7.7,-10,0,0,6.2,31241,7,1
9165,1/14/2013 10:00,101310,150,3,290,5.1,280.65,271.15,51,40000,2,101210,8.7,-10,0,0,7.5,37968,10,1
9172,1/14/2013 13:00,101230,-80,8,320,6.2,282.15,267.45,35,50000,2,101130,10.8,-10,0,0,9,38971,13,1
9176,1/14/2013 16:00,101260,30,3,280,10.8,278.95,269.85,52,60000,2,101160,18,-10,0,0,5.8,38540,16,1
25491,1/14/2013 19:00,101440,180,3,290,8.7,277.25,268.05,51,40000,2,101340,13.9,-10,0,0,4.1,40034,19,1
9182,1/14/2013 22:00,101480,40,1,270,5.7,275.85,267.45,54,35000,2,101380,8.2,-10,0,0,2.7,39834,22,1
25503,1/15/2013 1:00,101340,-140,8,280,3.6,275.55,267.45,55,35000,0,101240,6.7,-10,0,0,2.4,37754,1,1
4848,1/15/2013 4:00,101200,-140,8,180,0.5,275.75,268.75,60,30000,2,101100,5.1,-10,0,0,2.6,33895,4,1
9194,1/15/2013 7:00,100910,-290,6,270,1.5,275.95,270.05,65,30000,21,100810,2.6,-10,0,0,2.8,33868,7,1
9200,1/15/2013 10:00,100900,-10,5,20,3.1,274.55,271.95,83,20000,60,100800,4.1,-10,0.2,0.2,1.4,40255,10,1
25527,1/15/2013 13:00,100790,-110,8,300,1.5,277.65,274.15,78,12000,1,100690,4.6,-10,0,1,4.5,40246,13,1
10468,1/15/2013 16:00,100780,-10,5,310,9.3,281.75,269.55,42,25000,2,100680,13.4,-10,0,0,8.6,37785,16,1
114992,1/15/2013 19:00,101020,240,2,300,7.7,279.05,268.25,46,30000,2,100920,13.4,-10,0,0,5.9,39204,19,1
4879,1/15/2013 22:00,101080,60,0,300,7.2,278.55,268.15,47,30000,2,100980,12.3,-10,0,0,5.4,39565,22,1
9227,1/16/2013 1:00,101070,-10,5,310,5.7,277.35,268.35,52,30000,2,100970,9.3,-10,0,0,4.2,37621,1,1
4885,1/16/2013 4:00,101050,-20,8,240,2.1,273.55,268.15,67,30000,3,100950,3.6,-10,0,0,0.4,33456,4,1
4890,1/16/2013 7:00,100850,-200,6,0,0,274.85,269.95,70,25000,2,100750,1.5,-10,0,0,1.7,33633,7,1
10488,1/16/2013 10:00,100770,-80,6,350,1.5,277.55,269.95,58,15000,2,100670,3.6,-10,0,0,4.4,39287,10,1
10493,1/16/2013 13:00,100500,-270,8,320,2.1,277.75,267.95,49,15000,2,100400,4.1,-10,0,0,4.6,41164,13,1
115025,1/16/2013 16:00,100410,-90,5,270,3.1,274.65,273.45,92,6000,23,100310,3.6,-10,0.2,0.4,1.5,40518,16,1
115028,1/16/2013 19:00,100370,-40,5,310,3.1,275.75,273.15,83,15000,1,100270,4.1,-10,0,0,2.6,41271,19,1
115037,1/16/2013 22:00,100520,150,1,340,3.6,274.75,267.35,58,20000,2,100420,7.2,-10,0,0,1.6,40179,22,1
115043,1/17/2013 1:00,100660,140,3,360,2.1,272.55,265.95,57,35000,0,100560,4.1,-10,0,0,-0.6,38663,1,1
9271,1/17/2013 4:00,100760,100,3,280,3.1,271.25,267.75,74,20000,2,100660,5.1,-10,0,0,-1.9,36458,4,1
115054,1/17/2013 7:00,100910,150,3,290,5.1,271.75,264.95,56,25000,2,100810,7.7,-10,0,0,-1.4,36721,7,1
10526,1/17/2013 10:00,101060,150,3,290,6.2,274.45,263.75,45,40000,2,100960,8.7,-10,0,0,1.3,42463,10,1
10534,1/17/2013 13:00,100980,-80,8,320,4.1,279.45,262.25,28,40000,2,100880,7.2,-10,0,0,6.3,42073,13,1
25624,1/17/2013 16:00,100940,-40,5,330,6.7,280.15,261.45,25,40000,2,100840,10.8,-10,0,0,7,39318,16,1
25627,1/17/2013 19:00,101090,150,3,310,2.1,274.95,263.65,43,40000,2,100990,6.2,-10,0,0,1.8,41329,19,1
10553,1/17/2013 22:00,101150,60,1,40,3.6,270.85,262.05,47,20000,2,101050,6.2,-10,0,0,-2.3,42813,22,1
9305,1/18/2013 1:00,101020,-130,8,290,1.5,269.25,263.25,59,10000,0,100920,2.6,-10,0,0,-3.9,41550,1,1
9313,1/18/2013 4:00,100870,-150,6,360,3.1,267.95,262.55,62,15000,2,100770,5.1,-10,0,0,-5.2,38939,4,1
9318,1/18/2013 7:00,100700,-170,6,360,4.1,271.45,264.25,54,15000,2,100600,7.2,-10,0,0,-1.7,38985,7,1
4965,1/18/2013 10:00,100690,-10,8,360,2.6,273.65,264.45,50,15000,2,100590,5.7,-10,0,0,0.5,45116,10,1
9326,1/18/2013 13:00,100440,-250,8,30,2.6,276.55,265.15,43,16000,0,100340,6.2,-10,0,0,3.4,45892,13,1
4974,1/18/2013 16:00,100290,-150,7,170,1,276.85,265.75,44,15000,2,100190,2.1,-10,0,0,3.7,43592,16,1
10593,1/18/2013 19:00,100210,-80,7,10,1,276.05,267.85,55,12000,2,100110,2.1,-10,0,0,2.9,43032,19,1
9341,1/18/2013 22:00,100010,-200,6,50,4.1,274.35,270.45,75,5000,61,99910,5.1,-10,0,0,1.2,41917,22,1
10606,1/19/2013 1:00,99870,-140,8,10,5.1,273.75,272.55,92,2200,60,99770,8.2,-10,0.4,2,0.6,40365,1,1
4998,1/19/2013 4:00,99600,-270,8,20,6.2,274.55,273.95,96,1400,60,99500,9.3,-10,0.2,0.6,1.4,35769,4,1
10615,1/19/2013 7:00,99320,-280,8,10,6.7,275.35,274.75,96,4000,10,99220,10.3,-10,0,0.2,2.2,33365,7,1
9357,1/19/2013 10:00,99120,-200,6,10,5.7,276.55,276.15,97,3500,10,99020,8.7,-10,0.2,0.6,3.4,37130,10,1
115153,1/19/2013 13:00,98840,-280,8,10,6.2,278.15,277.55,96,7000,21,98740,9.8,-10,0.4,0.8,5,40161,13,1
25699,1/19/2013 16:00,98550,-280,6,120,13.4,282.95,281.75,92,11000,3,98460,19,-10,0,0.2,9.8,38268,16,1
115163,1/19/2013 19:00,98470,-80,6,120,13.4,283.35,282.55,95,6000,61,98380,19.5,-10,0.2,0.6,10.2,37118,19,1
5031,1/19/2013 22:00,98370,-100,6,110,14.9,283.75,282.95,95,6000,61,98280,21.1,-10,0.2,2,10.6,36024,22,1
10634,1/20/2013 1:00,98440,70,1,160,8.2,285.25,282.25,82,10000,21,98350,11.8,-10,0,0.6,12.1,35453,1,1
25718,1/20/2013 4:00,98570,130,1,160,6.7,284.95,281.95,82,10000,3,98480,12.3,-10,0,0,11.8,31405,4,1
5046,1/20/2013 7:00,98860,280,1,220,6.2,280.65,278.25,85,30000,1,98760,8.7,-10,0,0,7.5,29915,7,1
10650,1/20/2013 10:00,99170,310,3,250,5.1,279.25,274.95,74,40000,2,99070,7.7,-10,0,0.2,6.1,32606,10,1
115198,1/20/2013 13:00,99370,200,1,280,11.3,280.05,270.85,52,40000,2,99270,17,-10,0,0,6.9,36280,13,1
10661,1/20/2013 16:00,99520,150,3,280,8.7,279.25,271.35,57,40000,2,99420,15.4,-10,0,0,6.1,34378,16,1
10666,1/20/2013 19:00,99750,230,2,270,7.7,276.85,270.45,63,30000,2,99650,11.3,-10,0,0,3.7,35412,19,1
5077,1/20/2013 22:00,99900,150,1,190,1.5,275.35,270.25,69,25000,2,99800,6.7,-10,0,0,2.2,37935,22,1
114287,1/21/2013 1:00,99890,-10,8,300,3.6,274.85,269.75,69,16000,0,99790,7.2,-10,0,0,1.7,37477,1,1
8550,1/21/2013 4:00,99980,90,3,30,1.5,274.05,270.95,80,20000,2,99880,1.5,-10,0,0,0.9,34191,4,1
9885,1/21/2013 7:00,99950,-30,5,350,1.5,275.05,270.95,74,20000,2,99850,2.1,-10,0,0,1.9,34043,7,1
5099,1/21/2013 10:00,100090,140,1,270,1.5,277.15,271.35,66,20000,2,99990,2.1,-10,0,0,4,40041,10,1
70592,1/21/2013 13:00,100090,0,0,280,8.7,284.75,274.95,51,30000,2,99990,14.9,-10,0,0,11.6,39604,13,1
70597,1/21/2013 16:00,100220,130,3,290,12.3,283.15,272.65,48,50000,2,100120,20.6,-10,0,0,10,37557,16,1
114337,1/21/2013 19:00,100510,290,3,270,6.2,279.65,274.75,71,50000,2,100410,9.8,-10,0,0,6.5,39082,19,1
114343,1/21/2013 22:00,100690,180,1,270,6.7,278.45,273.65,71,50000,2,100590,9.3,-10,0,0,5.3,39613,22,1
114351,1/22/2013 1:00,100770,80,3,270,3.1,278.55,273.15,68,60000,0,100670,11.8,-10,0,0,5.4,37785,1,1
114359,1/22/2013 4:00,100770,0,5,260,4.6,276.75,272.55,74,40000,2,100670,5.7,-10,0,0,3.6,34134,4,1
8595,1/22/2013 7:00,100700,-70,5,250,6.2,277.35,273.15,74,50000,2,100600,7.7,-10,0,0,4.2,34896,7,1
70623,1/22/2013 10:00,100700,0,0,350,1.5,278.45,274.35,75,50000,2,100600,4.1,-10,0,0,5.3,41401,10,1
5138,1/22/2013 13:00,100520,-180,8,70,4.1,283.25,275.15,57,30000,2,100420,6.2,-10,0,0,10.1,39779,13,1
8618,1/22/2013 16:00,100280,-240,6,70,5.1,283.45,275.55,58,30000,2,100180,8.2,-10,0,0,10.3,37706,16,1
9942,1/22/2013 19:00,100110,-170,8,30,5.1,280.95,275.45,68,30000,2,100010,6.7,-10,0,0,7.8,38832,19,1
114397,1/22/2013 22:00,100100,-10,5,30,4.1,279.95,275.05,71,20000,2,100000,8.2,-10,0,0,6.8,38942,22,1
114404,1/23/2013 1:00,100000,-100,8,10,6.2,279.45,274.35,70,27000,0,99900,8.7,-10,0,0,6.3,37083,1,1
9961,1/23/2013 4:00,100000,0,0,360,7.7,279.35,275.25,75,30000,2,99900,11.3,-10,0,0,6.2,33343,4,1
114423,1/23/2013 7:00,100120,120,2,350,8.7,277.15,275.35,88,7000,61,100020,12.9,-10,1,3,4,33632,7,1
5171,1/23/2013 10:00,100200,80,1,350,8.2,278.35,276.35,87,4000,61,100100,13.4,-10,3,7,5.2,40139,10,1
8664,1/23/2013 13:00,100290,90,0,320,8.2,278.95,276.65,85,25000,21,100190,11.8,-10,0.2,6,5.8,41698,13,1
8668,1/23/2013 16:00,100410,120,3,290,5.7,280.05,275.95,75,40000,1,100310,7.7,-10,0.2,0.2,6.9,39953,16,1
70676,1/23/2013 19:00,100510,100,1,300,5.1,280.35,274.45,66,40000,1,100410,7.7,-10,0,0,7.2,40019,19,1
114448,1/23/2013 22:00,100530,20,2,300,5.7,278.85,272.75,65,40000,2,100430,7.7,-10,0,0,5.7,39565,22,1
70685,1/24/2013 1:00,100420,-110,8,270,3.1,277.45,272.25,69,50000,0,100320,7.7,-10,0,0,4.3,38095,1,1
8694,1/24/2013 4:00,100350,-70,6,290,2.6,275.45,271.85,77,40000,2,100250,3.6,-10,0,0,2.3,34968,4,1
70703,1/24/2013 7:00,100320,-30,7,20,3.1,272.95,271.05,85,40000,2,100220,3.1,-10,0,0,-0.2,34882,7,1
8702,1/24/2013 10:00,100370,50,2,340,3.6,277.05,272.45,72,30000,2,100270,5.1,-10,0,0,3.9,39983,10,1
5206,1/24/2013 13:00,100370,0,0,340,4.6,282.45,271.65,47,50000,2,100270,8.7,-10,0,0,9.3,39550,13,1
114481,1/24/2013 16:00,100380,10,3,10,6.7,283.45,272.05,45,50000,2,100280,9.8,-10,0,0,10.3,37325,16,1
8720,1/24/2013 19:00,100650,270,2,10,5.1,279.55,271.35,56,50000,2,100550,8.2,-10,0,0,6.4,39026,19,1
8731,1/25/2013 1:00,100940,110,1,10,3.6,274.85,269.55,68,20000,0,100840,5.1,-10,0,0,1.7,37979,1,1
5235,1/25/2013 4:00,101080,140,1,340,3.1,274.35,268.85,67,30000,2,100980,7.7,-10,0,0,1.2,34995,4,1
8749,1/25/2013 7:00,101130,50,3,360,3.1,271.45,268.15,76,30000,2,101030,4.1,-10,0,0,-1.7,35323,7,1
114513,1/25/2013 10:00,101240,110,1,10,3.1,276.45,268.75,57,40000,2,101140,4.6,-10,0,0,3.3,40509,10,1
70744,1/25/2013 13:00,101190,-50,8,10,3.6,281.35,269.15,42,40000,2,101090,5.7,-10,0,0,8.2,39373,13,1
70749,1/25/2013 16:00,101070,-120,5,30,3.6,284.25,268.95,34,50000,2,100970,6.2,-10,0,0,11.1,35750,16,1
70754,1/25/2013 19:00,101220,150,3,350,1.5,276.85,269.75,60,15000,2,101120,6.7,-10,0,0,3.7,36524,19,1
10059,1/25/2013 22:00,101200,-20,5,320,3.6,274.85,268.15,61,10000,2,101100,6.2,-10,0,0,1.7,38755,22,1
10064,1/26/2013 1:00,101040,-160,7,10,6.7,273.25,267.45,65,10000,2,100940,9.3,-10,0,0,0.1,38424,1,1
5282,1/26/2013 4:00,100930,-110,6,310,2.1,271.85,266.55,64,9000,3,100830,4.1,-10,0,0,-1.3,35475,4,1
114555,1/26/2013 7:00,100900,-30,6,340,1.5,273.05,267.65,64,10000,3,100800,3.1,-10,0,0,-0.1,33771,7,1
114558,1/26/2013 10:00,101130,230,1,10,1.5,275.95,268.05,56,15000,2,101030,2.1,-10,0,0,2.8,36913,10,1
114565,1/26/2013 13:00,101240,110,2,90,2.6,282.45,268.85,38,20000,2,101140,3.1,-10,0,0,9.3,38827,13,1
